Date,Open,High,Low,Close,Volume,Adj Close,Wildfire,Hurricane,Flood,Blizzard,Snowstorm,Tornado,Covid,Season,Inflation Rate
2016-07-01,17924.24023,18002.38086,17916.91016,17949.36914,82160000,17949.36914,No,No,No,No,No,No,No,Summer,0.8
2016-06-30,17712.75977,17930.60938,17711.80078,17929.99023,133030000,17929.99023,No,No,No,No,No,No,No,Summer,1
2016-06-29,17456.01953,17704.50977,17456.01953,17694.67969,106380000,17694.67969,No,No,No,No,No,No,No,Summer,1
2016-06-28,17190.50977,17409.7207,17190.50977,17409.7207,112190000,17409.7207,No,No,No,No,No,No,No,Summer,1
2016-06-27,17355.21094,17355.21094,17063.08008,17140.24023,138740000,17140.24023,No,No,No,No,No,No,No,Summer,1
2016-06-24,17946.63086,17946.63086,17356.33984,17400.75,239000000,17400.75,No,No,Yes,No,No,No,No,Summer,1
2016-06-23,17844.10938,18011.07031,17844.10938,18011.07031,98070000,18011.07031,No,No,Yes,No,No,No,No,Summer,1
2016-06-22,17832.66992,17920.16016,17770.35938,17780.83008,89440000,17780.83008,No,No,No,No,No,No,No,Summer,1
2016-06-21,17827.33008,17877.83984,17799.80078,17829.73047,85130000,17829.73047,No,No,No,No,No,No,No,Summer,1
2016-06-20,17736.86914,17946.35938,17736.86914,17804.86914,99380000,17804.86914,No,No,No,No,No,No,No,Summer,1
2016-06-17,17733.43945,17733.43945,17602.7793,17675.16016,248680000,17675.16016,No,No,No,No,No,No,No,Summer,1
2016-06-16,17602.23047,17754.91016,17471.28906,17733.09961,91950000,17733.09961,No,No,No,No,No,No,No,Summer,1
2016-06-15,17703.65039,17762.96094,17629.00977,17640.16992,94130000,17640.16992,No,No,No,No,No,No,No,Summer,1
2016-06-14,17710.76953,17733.91992,17595.78906,17674.82031,93740000,17674.82031,No,No,No,No,No,No,No,Summer,1
2016-06-13,17830.5,17893.2793,17731.34961,17732.48047,101690000,17732.48047,No,No,No,No,No,No,No,Summer,1
2016-06-10,17938.82031,17938.82031,17812.33984,17865.33984,90540000,17865.33984,No,No,No,No,No,No,No,Summer,1
2016-06-09,17969.98047,18005.2207,17915.88086,17985.18945,69690000,17985.18945,No,No,No,No,No,No,No,Summer,1
2016-06-08,17931.91016,18016,17931.91016,18005.05078,71260000,18005.05078,No,No,No,No,No,No,No,Summer,1
2016-06-07,17936.2207,18003.23047,17936.2207,17938.2793,78750000,17938.2793,No,No,No,No,No,No,No,Summer,1
2016-06-06,17825.68945,17949.67969,17822.81055,17920.33008,71870000,17920.33008,No,No,No,No,No,No,No,Summer,1
2016-06-03,17799.80078,17833.16992,17689.67969,17807.06055,82270000,17807.06055,No,No,No,No,No,No,No,Summer,1
2016-06-02,17789.05078,17838.56055,17703.55078,17838.56055,75560000,17838.56055,No,No,No,No,No,No,No,Summer,1
2016-06-01,17754.55078,17809.17969,17664.78906,17789.66992,78530000,17789.66992,No,No,No,No,No,No,No,Summer,1
2016-05-31,17891.5,17899.24023,17724.0293,17787.19922,147390000,17787.19922,No,No,No,No,No,No,No,Spring,1
2016-05-27,17826.84961,17873.2207,17824.73047,17873.2207,73190000,17873.2207,No,No,No,No,No,No,No,Spring,1
2016-05-26,17859.51953,17888.66016,17803.82031,17828.28906,68940000,17828.28906,No,No,No,No,No,No,No,Spring,1
2016-05-25,17735.08984,17891.71094,17735.08984,17851.50977,79180000,17851.50977,No,No,No,No,No,No,No,Spring,1
2016-05-24,17525.18945,17742.58984,17525.18945,17706.05078,86480000,17706.05078,No,No,No,No,No,No,No,Spring,1
2016-05-23,17507.03906,17550.69922,17480.05078,17492.92969,87790000,17492.92969,No,No,No,No,No,No,No,Spring,1
2016-05-20,17437.32031,17571.75,17437.32031,17500.93945,111990000,17500.93945,No,No,No,No,No,No,No,Spring,1
2016-05-19,17514.16016,17514.16016,17331.07031,17435.40039,95530000,17435.40039,No,No,No,No,No,No,No,Spring,1
2016-05-18,17501.2793,17636.2207,17418.21094,17526.61914,79120000,17526.61914,No,No,No,No,No,No,No,Spring,1
2016-05-17,17701.46094,17701.46094,17469.91992,17529.98047,103260000,17529.98047,No,No,No,No,No,No,No,Spring,1
2016-05-16,17531.75977,17755.80078,17531.75977,17710.71094,88440000,17710.71094,No,No,No,No,No,No,No,Spring,1
2016-05-13,17711.11914,17734.74023,17512.48047,17535.32031,86640000,17535.32031,No,No,No,No,No,No,No,Spring,1
2016-05-12,17711.11914,17798.18945,17625.38086,17720.5,88560000,17720.5,No,No,No,No,No,No,No,Spring,1
2016-05-11,17919.0293,17919.0293,17711.05078,17711.11914,87390000,17711.11914,No,No,No,No,No,No,No,Spring,1
2016-05-10,17726.66016,17934.60938,17726.66016,17928.34961,75790000,17928.34961,No,No,No,No,No,No,No,Spring,1
2016-05-09,17743.84961,17783.16016,17668.38086,17705.91016,85590000,17705.91016,No,No,No,No,No,No,No,Spring,1
2016-05-06,17650.30078,17744.53906,17580.38086,17740.63086,80020000,17740.63086,No,No,No,No,No,No,No,Spring,1
2016-05-05,17664.48047,17736.10938,17615.82031,17660.71094,81530000,17660.71094,No,No,No,No,No,No,No,Spring,1
2016-05-04,17735.01953,17738.06055,17609.00977,17651.25977,95020000,17651.25977,No,No,No,No,No,No,No,Spring,1
2016-05-03,17870.75,17870.75,17670.88086,17750.91016,97060000,17750.91016,No,No,No,No,No,No,No,Spring,1
2016-05-02,17783.7793,17912.34961,17773.71094,17891.16016,80100000,17891.16016,No,No,No,No,No,No,No,Spring,1
2016-04-29,17813.08984,17814.83008,17651.98047,17773.64063,136670000,17773.64063,No,No,No,No,No,No,No,Spring,1.1
2016-04-28,18023.88086,18035.73047,17796.55078,17830.75977,100920000,17830.75977,No,No,No,No,No,No,No,Spring,1.1
2016-04-27,17996.14063,18084.66016,17920.25977,18041.55078,109090000,18041.55078,No,No,No,No,No,No,No,Spring,1.1
2016-04-26,17987.38086,18043.76953,17934.16992,17990.32031,92570000,17990.32031,No,No,No,No,No,No,No,Spring,1.1
2016-04-25,17990.93945,17990.93945,17855.55078,17977.24023,83770000,17977.24023,No,No,No,No,No,No,No,Spring,1.1
2016-04-22,17985.05078,18026.84961,17909.89063,18003.75,134120000,18003.75,No,No,No,No,No,No,No,Spring,1.1
2016-04-21,18092.83984,18107.28906,17963.89063,17982.51953,102720000,17982.51953,No,No,No,No,No,No,No,Spring,1.1
2016-04-20,18059.49023,18167.63086,18031.21094,18096.26953,100210000,18096.26953,No,No,No,No,No,No,No,Spring,1.1
2016-04-19,18012.09961,18103.46094,17984.42969,18053.59961,89820000,18053.59961,No,No,No,No,No,No,No,Spring,1.1
2016-04-18,17890.19922,18009.5293,17848.2207,18004.16016,89390000,18004.16016,No,No,No,No,No,No,No,Spring,1.1
2016-04-15,17925.94922,17937.65039,17867.41016,17897.46094,118160000,17897.46094,No,No,No,No,No,No,No,Spring,1.1
2016-04-14,17912.25,17962.14063,17885.43945,17926.42969,84510000,17926.42969,No,No,No,No,No,No,No,Spring,1.1
2016-04-13,17741.66016,17918.34961,17741.66016,17908.2793,91710000,17908.2793,No,No,No,No,No,No,No,Spring,1.1
2016-04-12,17571.33984,17744.42969,17553.57031,17721.25,81020000,17721.25,No,No,No,No,No,No,No,Spring,1.1
2016-04-11,17586.48047,17731.63086,17555.90039,17556.41016,107100000,17556.41016,No,No,No,No,No,No,No,Spring,1.1
2016-04-08,17555.39063,17694.50977,17528.16016,17576.96094,79990000,17576.96094,No,No,No,No,No,No,No,Spring,1.1
2016-04-07,17687.2793,17687.2793,17484.23047,17541.96094,90120000,17541.96094,No,No,No,No,No,No,No,Spring,1.1
2016-04-06,17605.44922,17723.55078,17542.53906,17716.05078,99410000,17716.05078,No,No,No,No,No,No,No,Spring,1.1
2016-04-05,17718.0293,17718.0293,17579.56055,17603.32031,115230000,17603.32031,No,No,No,No,No,No,No,Spring,1.1
2016-04-04,17799.39063,17806.38086,17710.66992,17737,85230000,17737,No,No,No,No,No,No,No,Spring,1.1
2016-04-01,17661.74023,17811.48047,17568.01953,17792.75,104890000,17792.75,No,No,No,No,No,No,No,Spring,1.1
2016-03-31,17716.05078,17755.69922,17669.7207,17685.08984,102600000,17685.08984,No,No,No,No,No,No,No,Spring,0.9
2016-03-30,17652.35938,17790.10938,17652.35938,17716.66016,79330000,17716.66016,No,No,No,No,No,No,No,Spring,0.9
2016-03-29,17512.58008,17642.81055,17434.26953,17633.10938,86160000,17633.10938,No,No,No,No,No,No,No,Spring,0.9
2016-03-28,17526.08008,17583.81055,17493.0293,17535.39063,70460000,17535.39063,No,No,No,No,No,No,No,Spring,0.9
2016-03-24,17485.33008,17517.14063,17399.00977,17515.73047,84100000,17515.73047,No,No,No,No,No,No,No,Spring,0.9
2016-03-23,17588.81055,17588.81055,17486.26953,17502.58984,84240000,17502.58984,No,No,No,No,No,No,No,Spring,0.9
2016-03-22,17602.71094,17648.93945,17540.41992,17582.57031,95450000,17582.57031,No,No,No,No,No,No,No,Spring,0.9
2016-03-21,17589.69922,17644.9707,17551.2793,17623.86914,84410000,17623.86914,No,No,No,No,No,No,No,Spring,0.9
2016-03-18,17481.49023,17620.58008,17481.49023,17602.30078,321230000,17602.30078,No,No,No,No,No,No,No,Spring,0.9
2016-03-17,17321.38086,17529.00977,17297.65039,17481.49023,117990000,17481.49023,No,No,No,No,No,No,No,Spring,0.9
2016-03-16,17249.33984,17379.17969,17204.07031,17325.75977,118710000,17325.75977,No,No,No,No,No,No,No,Spring,0.9
2016-03-15,17217.15039,17251.69922,17120.34961,17251.5293,92830000,17251.5293,No,No,No,No,No,No,No,Spring,0.9
2016-03-14,17207.49023,17275.07031,17161.16016,17229.13086,96350000,17229.13086,No,No,No,No,No,No,No,Spring,0.9
2016-03-11,17014.99023,17220.08984,17014.99023,17213.31055,123420000,17213.31055,No,No,No,No,No,No,No,Spring,0.9
2016-03-10,17006.05078,17130.10938,16821.85938,16995.13086,117570000,16995.13086,No,No,No,No,No,No,No,Spring,0.9
2016-03-09,16969.16992,17048.5,16947.93945,17000.35938,116690000,17000.35938,No,No,No,No,No,No,No,Spring,0.9
2016-03-08,17050.66992,17072.78906,16921.50977,16964.09961,108380000,16964.09961,No,No,No,No,No,No,No,Spring,0.9
2016-03-07,16991.28906,17099.25,16940.48047,17073.94922,100290000,17073.94922,No,No,No,No,No,No,No,Spring,0.9
2016-03-04,16945,17062.38086,16898.83984,17006.76953,106910000,17006.76953,No,No,No,No,No,No,No,Spring,0.9
2016-03-03,16896.16992,16944.31055,16820.73047,16943.90039,91110000,16943.90039,No,No,No,No,No,No,No,Spring,0.9
2016-03-02,16851.16992,16900.16992,16766.32031,16899.32031,104470000,16899.32031,No,No,No,No,No,No,No,Spring,0.9
2016-03-01,16545.66992,16865.56055,16545.66992,16865.08008,105050000,16865.08008,No,No,No,No,No,No,No,Spring,0.9
2016-02-29,16634.15039,16726.11914,16510.40039,16516.5,126220000,16516.5,No,No,No,No,No,No,No,Winter,1
2016-02-26,16712.69922,16795.98047,16623.91016,16639.9707,98480000,16639.9707,No,No,No,No,No,No,No,Winter,1
2016-02-25,16504.38086,16697.98047,16458.41992,16697.28906,94120000,16697.28906,No,No,No,No,No,No,No,Winter,1
2016-02-24,16418.83984,16507.39063,16165.86035,16484.99023,93620000,16484.99023,No,No,No,No,No,No,No,Winter,1
2016-02-23,16610.39063,16610.39063,16403.5293,16431.7793,98170000,16431.7793,No,No,No,No,No,No,No,Winter,1
2016-02-22,16417.13086,16664.24023,16417.13086,16620.66016,102240000,16620.66016,No,No,No,No,No,No,No,Winter,1
2016-02-19,16410.96094,16410.96094,16278,16391.99023,134340000,16391.99023,No,No,No,No,No,No,No,Winter,1
2016-02-18,16483.75977,16511.83984,16390.42969,16413.42969,104950000,16413.42969,No,No,No,No,No,No,No,Winter,1
2016-02-17,16217.98047,16486.11914,16217.98047,16453.83008,124080000,16453.83008,No,No,No,No,No,No,No,Winter,1
2016-02-16,16012.38965,16196.41016,16012.38965,16196.41016,142030000,16196.41016,No,No,No,No,No,No,No,Winter,1
2016-02-12,15691.62012,15974.04004,15691.62012,15973.83984,132550000,15973.83984,No,No,No,No,No,No,No,Winter,1
2016-02-11,15897.82031,15897.82031,15503.00977,15660.17969,172070000,15660.17969,No,No,No,No,No,No,No,Winter,1
2016-02-10,16035.61035,16201.88965,15899.91016,15914.74023,122290000,15914.74023,No,No,No,No,No,No,No,Winter,1
2016-02-09,16005.41016,16136.62012,15881.11035,16014.37988,127740000,16014.37988,No,No,No,No,No,No,No,Winter,1
2016-02-08,16147.50977,16147.50977,15803.54981,16027.04981,165880000,16027.04981,No,No,No,No,No,No,No,Winter,1
2016-02-05,16417.94922,16423.63086,16129.80957,16204.96973,139010000,16204.96973,No,No,No,No,No,No,No,Winter,1
2016-02-04,16329.66992,16485.83984,16266.16016,16416.58008,131490000,16416.58008,No,No,No,No,No,No,No,Winter,1
2016-02-03,16186.2002,16381.69043,15960.4502,16336.66016,141870000,16336.66016,No,No,No,No,No,No,No,Winter,1
2016-02-02,16420.21094,16420.21094,16108.44043,16153.54004,126210000,16153.54004,No,No,No,No,No,No,No,Winter,1
2016-02-01,16453.63086,16510.98047,16299.46973,16449.17969,114450000,16449.17969,No,No,No,No,No,No,No,Winter,1
2016-01-29,16090.25977,16466.30078,16090.25977,16466.30078,217940000,16466.30078,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-28,15960.28027,16102.13965,15863.71973,16069.63965,130120000,16069.63965,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-27,16168.74023,16235.03027,15878.29981,15944.45996,138350000,15944.45996,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-26,15893.16016,16185.79004,15893.16016,16167.23047,118210000,16167.23047,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-25,16086.45996,16086.45996,15880.15039,15885.21973,123250000,15885.21973,No,No,No,Yes,No,No,No,Winter,1.4
